sale_date,productid,price,quantity,orderid
1996-07-04,11,21.0,12,10248
1996-07-04,42,14.0,10,10248
1996-07-04,72,34.8,5,10248
1996-07-05,14,23.25,9,10249
1996-07-05,51,53.0,40,10249
1996-07-08,41,9.65,10,10250
1996-07-08,51,53.0,35,10250
1996-07-08,65,21.05,15,10250
1996-07-08,22,21.0,6,10251
1996-07-08,57,19.5,15,10251
1996-07-08,65,21.05,20,10251
1996-07-09,20,81.0,40,10252
1996-07-09,33,2.5,25,10252
1996-07-09,60,34.0,40,10252
1996-07-10,31,12.5,20,10253
1996-07-10,39,18.0,42,10253
1996-07-10,49,20.0,40,10253
1996-07-11,24,4.5,15,10254
1996-07-11,55,24.0,21,10254
1996-07-11,74,10.0,21,10254
1996-07-12,2,19.0,20,10255
1996-07-12,16,17.45,35,10255
1996-07-12,36,19.0,25,10255
1996-07-12,59,55.0,30,10255
1996-07-15,53,32.8,15,10256
1996-07-15,77,13.0,12,10256
1996-07-16,27,43.9,25,10257
1996-07-16,39,18.0,6,10257
1996-07-16,77,13.0,15,10257
1996-07-17,2,19.0,50,10258
1996-07-17,5,21.35,65,10258
1996-07-17,32,32.0,6,10258
1996-07-18,21,10.0,10,10259
1996-07-18,37,26.0,1,10259
1996-07-19,41,9.65,16,10260
1996-07-19,57,19.5,50,10260
1996-07-19,62,49.3,15,10260
1996-07-19,70,15.0,21,10260
1996-07-19,21,10.0,20,10261
1996-07-19,35,18.0,20,10261
1996-07-22,5,21.35,12,10262
1996-07-22,7,30.0,15,10262
1996-07-22,56,38.0,2,10262
1996-07-23,16,17.45,60,10263
1996-07-23,24,4.5,28,10263
1996-07-23,30,25.89,60,10263
1996-07-23,74,10.0,36,10263
1996-07-24,2,19.0,35,10264
1996-07-24,41,9.65,25,10264
1996-07-25,17,39.0,30,10265
1996-07-25,70,15.0,20,10265
1996-07-26,12,38.0,12,10266
1996-07-29,40,18.4,50,10267
1996-07-29,59,55.0,70,10267
1996-07-29,76,18.0,15,10267
1996-07-30,29,123.79,10,10268
1996-07-30,72,34.8,4,10268
1996-07-31,33,2.5,60,10269
1996-07-31,72,34.8,20,10269
1996-08-01,36,19.0,30,10270
1996-08-01,43,46.0,25,10270
1996-08-01,33,2.5,24,10271
1996-08-02,20,81.0,6,10272
1996-08-02,31,12.5,40,10272
1996-08-02,72,34.8,24,10272
1996-08-05,10,31.0,24,10273
1996-08-05,31,12.5,15,10273
1996-08-05,33,2.5,20,10273
1996-08-05,40,18.4,60,10273
1996-08-05,76,18.0,33,10273
1996-08-06,71,21.5,20,10274
1996-08-06,72,34.8,7,10274
1996-08-07,24,4.5,12,10275
1996-08-07,59,55.0,6,10275
1996-08-08,10,31.0,15,10276
1996-08-08,13,6.0,10,10276
1996-08-09,28,45.6,20,10277
1996-08-09,62,49.3,12,10277
1996-08-12,44,19.45,16,10278
1996-08-12,59,55.0,15,10278
1996-08-12,63,43.9,8,10278
1996-08-12,73,15.0,25,10278
1996-08-13,17,39.0,15,10279
1996-08-14,24,4.5,12,10280
1996-08-14,55,24.0,20,10280
1996-08-14,75,7.75,30,10280
1996-08-14,19,9.2,1,10281
1996-08-14,24,4.5,6,10281
1996-08-14,35,18.0,4,10281
1996-08-15,30,25.89,6,10282
1996-08-15,57,19.5,2,10282
1996-08-16,15,15.5,20,10283
1996-08-16,19,9.2,18,10283
1996-08-16,60,34.0,35,10283
1996-08-16,72,34.8,3,10283
1996-08-19,27,43.9,15,10284
1996-08-19,44,19.45,21,10284
1996-08-19,60,34.0,20,10284
1996-08-19,67,14.0,5,10284
1996-08-20,1,18.0,45,10285
1996-08-20,40,18.4,40,10285
1996-08-20,53,32.8,36,10285
1996-08-21,35,18.0,100,10286
1996-08-21,62,49.3,40,10286
1996-08-22,16,17.45,40,10287
1996-08-22,34,14.0,20,10287
1996-08-22,46,12.0,15,10287
1996-08-23,54,7.45,10,10288
1996-08-23,68,12.5,3,10288
1996-08-26,3,10.0,30,10289
1996-08-26,64,33.25,9,10289
1996-08-27,5,21.35,20,10290
1996-08-27,29,123.79,15,10290
1996-08-27,49,20.0,15,10290
1996-08-27,77,13.0,10,10290
1996-08-27,13,6.0,20,10291
1996-08-27,44,19.45,24,10291
1996-08-27,51,53.0,2,10291
1996-08-28,20,81.0,20,10292
1996-08-29,18,62.5,12,10293
1996-08-29,24,4.5,10,10293
1996-08-29,63,43.9,5,10293
1996-08-29,75,7.75,6,10293
1996-08-30,1,18.0,18,10294
1996-08-30,17,39.0,15,10294
1996-08-30,43,46.0,15,10294
1996-08-30,60,34.0,21,10294
1996-08-30,75,7.75,6,10294
1996-09-02,56,38.0,4,10295
1996-09-03,11,21.0,12,10296
1996-09-03,16,17.45,30,10296
1996-09-03,69,36.0,15,10296
1996-09-04,39,18.0,60,10297
1996-09-04,72,34.8,20,10297
1996-09-05,2,19.0,40,10298
1996-09-05,36,19.0,40,10298
1996-09-05,59,55.0,30,10298
1996-09-05,62,49.3,15,10298
1996-09-06,19,9.2,15,10299
1996-09-06,70,15.0,20,10299
1996-09-09,66,17.0,30,10300
1996-09-09,68,12.5,20,10300
1996-09-09,40,18.4,10,10301
1996-09-09,56,38.0,20,10301
1996-09-10,17,39.0,40,10302
1996-09-10,28,45.6,28,10302
1996-09-10,43,46.0,12,10302
1996-09-11,40,18.4,40,10303
1996-09-11,65,21.05,30,10303
1996-09-11,68,12.5,15,10303
1996-09-12,49,20.0,30,10304
1996-09-12,59,55.0,10,10304
1996-09-12,71,21.5,2,10304
1996-09-13,18,62.5,25,10305
1996-09-13,29,123.79,25,10305
1996-09-13,39,18.0,30,10305
1996-09-16,30,25.89,10,10306
1996-09-16,53,32.8,10,10306
1996-09-16,54,7.45,5,10306
1996-09-17,62,49.3,10,10307
1996-09-17,68,12.5,3,10307
1996-09-18,69,36.0,1,10308
1996-09-18,70,15.0,5,10308
1996-09-19,4,22.0,20,10309
1996-09-19,6,25.0,30,10309
1996-09-19,42,14.0,2,10309
1996-09-19,43,46.0,20,10309
1996-09-19,71,21.5,3,10309
1996-09-20,16,17.45,10,10310
1996-09-20,62,49.3,5,10310
1996-09-20,42,14.0,6,10311
1996-09-20,69,36.0,7,10311
1996-09-23,28,45.6,4,10312
1996-09-23,43,46.0,24,10312
1996-09-23,53,32.8,20,10312
1996-09-23,75,7.75,10,10312
1996-09-24,36,19.0,12,10313
1996-09-25,32,32.0,40,10314
1996-09-25,58,13.25,30,10314
1996-09-25,62,49.3,25,10314
1996-09-26,34,14.0,14,10315
1996-09-26,70,15.0,30,10315
1996-09-27,41,9.65,10,10316
1996-09-27,62,49.3,70,10316
1996-09-30,1,18.0,20,10317
1996-10-01,41,9.65,20,10318
1996-10-01,76,18.0,6,10318
1996-10-02,17,39.0,8,10319
1996-10-02,28,45.6,14,10319
1996-10-02,76,18.0,30,10319
1996-10-03,71,21.5,30,10320
1996-10-03,35,18.0,10,10321
1996-10-04,52,7.0,20,10322
1996-10-07,15,15.5,5,10323
1996-10-07,25,14.0,4,10323
1996-10-07,39,18.0,4,10323
1996-10-08,16,17.45,21,10324
1996-10-08,35,18.0,70,10324
1996-10-08,46,12.0,30,10324
1996-10-08,59,55.0,40,10324
1996-10-08,63,43.9,80,10324
1996-10-09,6,25.0,6,10325
1996-10-09,13,6.0,12,10325
1996-10-09,14,23.25,9,10325
1996-10-09,31,12.5,4,10325
1996-10-09,72,34.8,40,10325
1996-10-10,4,22.0,24,10326
1996-10-10,57,19.5,16,10326
1996-10-10,75,7.75,50,10326
1996-10-11,2,19.0,25,10327
1996-10-11,11,21.0,50,10327
1996-10-11,30,25.89,35,10327
1996-10-11,58,13.25,30,10327
1996-10-14,59,55.0,9,10328
1996-10-14,65,21.05,40,10328
1996-10-14,68,12.5,10,10328
1996-10-15,19,9.2,10,10329
1996-10-15,30,25.89,8,10329
1996-10-15,38,263.5,20,10329
1996-10-15,56,38.0,12,10329
1996-10-16,26,31.23,50,10330
1996-10-16,72,34.8,25,10330
1996-10-16,54,7.45,15,10331
1996-10-17,18,62.5,40,10332
1996-10-17,42,14.0,10,10332
1996-10-17,47,9.5,16,10332
1996-10-18,14,23.25,10,10333
1996-10-18,21,10.0,10,10333
1996-10-18,71,21.5,40,10333
1996-10-21,52,7.0,8,10334
1996-10-21,68,12.5,10,10334
1996-10-22,2,19.0,7,10335
1996-10-22,31,12.5,25,10335
1996-10-22,32,32.0,6,10335
1996-10-22,51,53.0,48,10335
1996-10-23,4,22.0,18,10336
1996-10-24,23,9.0,40,10337
1996-10-24,26,31.23,24,10337
1996-10-24,36,19.0,20,10337
1996-10-24,37,26.0,28,10337
1996-10-24,72,34.8,25,10337
1996-10-25,17,39.0,20,10338
1996-10-25,30,25.89,15,10338
1996-10-28,4,22.0,10,10339
1996-10-28,17,39.0,70,10339
1996-10-28,62,49.3,28,10339
1996-10-29,18,62.5,20,10340
1996-10-29,41,9.65,12,10340
1996-10-29,43,46.0,40,10340
1996-10-29,33,2.5,8,10341
1996-10-29,59,55.0,9,10341
1996-10-30,2,19.0,24,10342
1996-10-30,31,12.5,56,10342
1996-10-30,36,19.0,40,10342
1996-10-30,55,24.0,40,10342
1996-10-31,64,33.25,50,10343
1996-10-31,68,12.5,4,10343
1996-10-31,76,18.0,15,10343
1996-11-01,4,22.0,35,10344
1996-11-01,8,40.0,70,10344
1996-11-04,8,40.0,70,10345
1996-11-04,19,9.2,80,10345
1996-11-04,42,14.0,9,10345
1996-11-05,17,39.0,36,10346
1996-11-05,56,38.0,20,10346
1996-11-06,25,14.0,10,10347
1996-11-06,39,18.0,50,10347
1996-11-06,40,18.4,4,10347
1996-11-06,75,7.75,6,10347
1996-11-07,1,18.0,15,10348
1996-11-07,23,9.0,25,10348
1996-11-08,54,7.45,24,10349
1996-11-11,50,16.25,15,10350
